Name,Description,Type
Alexa for Business,Empower your organization with Alexa,Business Applications
Amazon API Gateway,"Build, deploy, and manage API's",Mobile
Amazon API Gateway,"Build, deploy, and manage APIs",Networking
Amazon AppFlow,No code integration for SaaS apps & AWS services,Application Integration
Amazon AppStream 2.0,Stream desktop applications securely to a browser,End User Computing
Amazon Athena,Query data in S3 using SQL,Analytics
Amazon Augmented AI,Easily implement human review of ML predictions,Machine Learning
Amazon Aurora,High performance managed relational database,Databases
Amazon Braket,Explore and experiment with quantum computing,Quantum
Amazon Chime,"Frustration-free meetings, video calls, and chat",Business Applications
Amazon Cloud,SearchManaged search service,Analytics
Amazon CloudFront,Global content delivery network,Networking
Amazon CloudWatch,Monitor resources and applications,Management & Governance
Amazon CodeGuru,Find your most expensive lines of code,Developer Tools
Amazon CodeGuru,Find your most expensive lines of code,Machine Learning
Amazon Cognito,Identity management for your apps,"Security, Identity & Compliance"
Amazon Comprehend,Discover insights and relationships in text,Machine Learning
Amazon Connect,Cloud-based contact center service,Customer Engagement
Amazon Corretto,Production-ready distribution of OpenJDK,Developer Tools
Amazon Detective,Investigate potential security issues,"Security, Identity & Compliance"
Amazon DocumentDB (with MongoDB compatibility),Fully managed document database,Databases
Amazon DynamoDB,Managed NoSQL database,Databases
Amazon EC2,Virtual servers in the cloud,Compute
Amazon EC2 Auto Scaling,Scale compute capacity to meet demand,Compute
Amazon Elastic Block Store (EBS),EC2 block storage volumes,Storage
Amazon Elastic Container Registry,"Easily store, manage, and deploy container images",Containers
Amazon Elastic Container Service (ECS),"Highly secure, reliable, and scalable way to run containers",Containers
Amazon Elastic File System (EFS),Fully managed file system for EC2,Storage
Amazon Elastic Inference,Deep learning inference acceleration,Machine Learning
Amazon Elastic Kubernetes Service (EKS),The most trusted way to run Kubernetes,Containers
Amazon Elastic Transcoder,Easy-to-use scalable media transcoding,Media
Amazon ElastiCache,In-memory caching system,Databases
Amazon Elasticsearch Service,Run and scale Elasticsearch clusters,Analytics
Amazon EMR,Hosted Hadoop framework,Analytics
Amazon EventBridge,Serverless event bus for SaaS apps & AWS services,Application Integration
Amazon Forecast,Increase forecast accuracy using machine learning,Machine Learning
Amazon Fraud Detector,Detect more online fraud faster,Machine Learning
Amazon FSx for Lustre,High-performance file system integrated with S3,Storage
Amazon FSx for Windows File Server,Fully managed Windows native file system,Storage
Amazon GameLift,"Simple, fast, cost-effective dedicated game server hosting",Game Tech
Amazon GuardDuty,Managed threat detection service,"Security, Identity & Compliance"
Amazon Honeycode (Beta),Build mobile & web apps without programming,Business Applications
Amazon Inspector,Analyze application security,"Security, Identity & Compliance"
Amazon Interactive Video Service,Managed live video solution,Media
Amazon Kendra,Reinvent enterprise search with ML,Machine Learning
Amazon Keyspaces (for Apache Cassandra),Managed Cassandra-compatible database,Databases
Amazon Kinesis,Analyze real-time video and data streams,Analytics
Amazon Kinesis Video Streams,Process and analyze video streams,Media
Amazon Lex,Build voice and text chatbots,Machine Learning
Amazon Lightsail,Launch and manage virtual private servers,Compute
Amazon Lumberyard,"A free cross-platform 3D game engine, with Full Source, integrated with AWS and Twitch",Game Tech
Amazon Macie,Discover and protect your sensitive data at scale,"Security, Identity & Compliance"
Amazon Managed Blockchain,Create and manage scalable blockchain networks,Blockchain
Amazon Managed Streaming for Apache Kafka,Fully managed Apache Kafka service,Analytics
Amazon MQ,Managed message broker for ActiveMQ,Application Integration
Amazon Neptune,Fully managed graph database service,Databases
Amazon Personalize,Build real-time recommendations into your applications,Machine Learning
Amazon Pinpoint,Personalized user engagement across channels,Customer Engagement
Amazon Pinpoint,Personalized user engagement across channels,Mobile
Amazon Polly,Turn text into life-like speech,Machine Learning
Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,Blockchain
Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,Databases
Amazon QuickSight,Fast business analytics service,Analytics
Amazon RDS,"Managed relational database service for MySQL, PostgreSQL, Oracle, SQL Server, and MariaDB",Databases
Amazon RDS on VMware,Automate on-premises database management,Databases
Amazon Redshift,"Fast, simple, cost-effective data warehousing",Analytics
Amazon Redshift,"Fast, simple, cost-effective data warehousing",Databases
Amazon Rekognition,Analyze image and video,Machine Learning
Amazon Route 53,Scalable domain name system (DNS),Networking
Amazon S3 Glacier,Low-cost archive storage in the cloud,Storage
Amazon SageMaker,"Build, train, and deploy machine learning models at scale",Machine Learning
