,Review,Score,Source
0,Wow... Loved this place.,1,yelp
1,Crust is not good.,0,yelp
2,Not tasty and the texture was just nasty.,0,yelp
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,yelp
4,The selection on the menu was great and so were the prices.,1,yelp
5,Now I am getting angry and I want my damn pho.,0,yelp
6,Honeslty it didn't taste THAT fresh.),0,yelp
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,yelp
8,The fries were great too.,1,yelp
9,A great touch.,1,yelp
10,Service was very prompt.,1,yelp
11,Would not go back.,0,yelp
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,yelp
13,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,yelp
14,I was disgusted because I was pretty sure that was human hair.,0,yelp
15,I was shocked because no signs indicate cash only.,0,yelp
16,Highly recommended.,1,yelp
17,Waitress was a little slow in service.,0,yelp
18,"This place is not worth your time, let alone Vegas.",0,yelp
19,did not like at all.,0,yelp
20,The Burrittos Blah!,0,yelp
21,"The food, amazing.",1,yelp
22,Service is also cute.,1,yelp
23,I could care less... The interior is just beautiful.,1,yelp
24,So they performed.,1,yelp
25,That's right....the red velvet cake.....ohhh this stuff is so good.,1,yelp
26,- They never brought a salad we asked for.,0,yelp
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,yelp
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,yelp
29,The worst was the salmon sashimi.,0,yelp
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,yelp
31,This was like the final blow!,0,yelp
32,I found this place by accident and I could not be happier.,1,yelp
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,yelp
34,"Overall, I like this place a lot.",1,yelp
35,The only redeeming quality of the restaurant was that it was very inexpensive.,1,yelp
36,Ample portions and good prices.,1,yelp
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,yelp
38,My first visit to Hiro was a delight!,1,yelp
39,Service sucks.,0,yelp
40,The shrimp tender and moist.,1,yelp
41,There is not a deal good enough that would drag me into that establishment again.,0,yelp
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,yelp
43,"On a positive note, our server was very attentive and provided great service.",1,yelp
44,"Frozen pucks of disgust, with some of the worst people behind the register.",0,yelp
45,The only thing I did like was the prime rib and dessert section.,1,yelp
46,It's too bad the food is so damn generic.,0,yelp
47,"The burger is good beef, cooked just right.",1,yelp
48,If you want a sandwich just go to any Firehouse!!!!!,1,yelp
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,yelp
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,yelp
51,He came running after us when he realized my husband had left his sunglasses on the table.,1,yelp
52,Their chow mein is so good!,1,yelp
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,yelp
54,The portion was huge!,1,yelp
